system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000027e_2,63759600B29118141744967,1,B?c K?n,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,269808.14360979566,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027f_0,63759600B49404698723526,1,B?c Liêu,1.4319008756428957,209.26071559489867,0.0,0.0,0.0,0.0,1,0,0,VNM,430.55100071430206,137831.9823622166,0.0,0.0,493164.12235523557,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027f_1,63759600B49404698723526,1,B?c Liêu,1.4319008756428957,209.2607155948987,0.0,0.0,2.046098172361506,72.63304070009686,1,0,1,VNM,588.834463596344,191619.37861077083,0.0,0.0,676467.9568852611,328.45020487916236,17145.074548460456,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027f_2,63759600B49404698723526,1,B?c Liêu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,676467.956885261,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000280_0,63759600B40382966221261,1,B?c Ninh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,847741.8395234926,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000280_1,63759600B40382966221261,1,B?c Ninh,14.76792081569997,214.28965507329752,0.0,0.0,0.0,0.0,1,0,0,VNM,7155.029076131653,122970.8209511696,0.0,0.0,989786.1980472255,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000280_2,63759600B40382966221261,1,B?c Ninh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,989786.1980472256,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000281_0,63759600B71233846988018,1,B?n Tre,11.880920484362571,265.3044630161176,0.0,0.0,0.0,0.0,1,0,0,VNM,2469.314080106044,128140.55287252268,0.0,0.0,997221.1206092557,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000281_1,63759600B71233846988018,1,B?n Tre,11.880920484362571,265.3044630161176,0.0,0.0,0.0,0.0,1,0,0,VNM,1961.8232692610982,127937.96740839435,0.0,0.0,943860.9047610431,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000281_2,63759600B71233846988018,1,B?n Tre,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,943860.9047610433,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000282_0,63759600B9901642676381,1,Bình ??nh,0.0,0.0,0.0,0.0,0.0,109.97444534353986,0,0,1,VNM,0.0,0.0,0.0,0.0,1203785.2128980535,0.0,30726.210042589904,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000282_1,63759600B9901642676381,1,Bình ??nh,0.0,105.80442963716956,0.0,0.0,157.6047549816579,1101.0072673170005,1,0,4,VNM,0.0,1183.7744642343296,0.0,0.0,1241930.2865397036,36561.14125347786,410134.0983172542,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000282_2,63759600B9901642676381,1,Bình ??nh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1241930.2865397031,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000283_0,63759600B4649941622975,1,Bình D??ng,11.45800801593372,399.16323651554177,0.0,0.0,0.0,0.0,2,0,0,VNM,2300.096626142778,38506.36864986127,0.0,0.0,687845.0251028249,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000283_1,63759600B4649941622975,1,Bình D??ng,11.45800801593372,399.16323651554177,0.0,0.0,1.1359114504072305,299.1870242718023,2,0,1,VNM,5172.4659773029525,124204.55341744047,0.0,0.0,2733074.410630573,42.67911925456104,66827.42075147828,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000283_2,63759600B4649941622975,1,Bình D??ng,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,2733074.4106305726,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000284_0,63759600B13042736323456,1,Bình Ph??c,0.0,0.0,7.976578572085675,674.331492684062,0.0,0.0,0,1,0,VNM,0.0,0.0,311.4616790540662,45917.547966587226,580713.6363406242,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000284_1,63759600B13042736323456,1,Bình Ph??c,18.96579723133176,809.4998634527053,250.23824529718678,1123.3257072898432,0.15090696580854118,442.46068207260004,3,2,1,VNM,8974.12599048217,137669.0075730303,7487.391574692594,97070.3503150555,1078610.736264367,4.232099010079515,21298.367204709495,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000284_2,63759600B13042736323456,1,Bình Ph??c,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1078610.7362643674,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000285_0,63759600B31473825670333,1,Bình Thu?n,450.9413162853423,1564.1001649871034,0.0,0.0,0.0,0.0,4,0,0,VNM,11690.672296510476,115754.87859967512,0.0,0.0,882377.9537569156,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000285_1,63759600B31473825670333,1,Bình Thu?n,693.1395934104773,2806.8765009836793,0.0,0.0,18.39660190719673,312.3622257982618,5,0,1,VNM,22846.182063293298,251510.0852644764,0.0,0.0,1105618.45820947,11162.2138278288,64549.58130178311,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000285_2,63759600B31473825670333,1,Bình Thu?n,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1105618.4582094701,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000286_0,63759600B81181225404594,1,Cà Mau,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,688645.3590921796,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000286_1,63759600B81181225404594,1,Cà Mau,0.0,0.0,93.64718587649074,872.8999572597992,98.34426029480116,746.5279866211297,0,2,4,VNM,0.0,0.0,6800.278162070699,124643.31754858766,826424.3941302622,12138.303034136108,143035.9985164767,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000286_2,63759600B81181225404594,1,Cà Mau,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,826424.3941302622,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000287_0,63759600B21046589863912,1,C?n Th?,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1032487.5370356216,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000287_1,63759600B21046589863912,1,C?n Th?,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1444062.0221309618,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000287_2,63759600B21046589863912,1,C?n Th?,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1444062.0221309618,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000288_0,63759600B11108179203280,1,Cao B?ng,138.54727281443775,609.6831434990663,0.0,0.0,0.0,0.0,2,0,0,VNM,5365.919008843601,25024.625593235334,0.0,0.0,449758.4594730913,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000288_1,63759600B11108179203280,1,Cao B?ng,215.19653340424685,1385.515602726712,0.0,0.0,0.0,0.0,4,0,0,VNM,10021.108376296332,92512.28222153377,0.0,0.0,484235.91330695874,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000288_2,63759600B11108179203280,1,Cao B?ng,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,484235.91330695845,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000289_0,63759600B5991530625500,1,Côn ??o,0.0,0.0,22.109055532237484,3.1439826186417656,0.0,0.0,0,1,0,VNM,0.0,0.0,1137.2867971562287,203.8171524186929,1341.1039495749217,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000289_1,63759600B5991530625500,1,Côn ??o,0.0,0.0,22.109055532237484,3.1439826186417656,0.0,0.0,0,1,1,VNM,0.0,0.0,1872.8477225193792,334.9382366132503,2207.7859591326296,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000289_2,63759600B5991530625500,1,Côn ??o,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,2207.7859591326296,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028a_0,63759600B8583399541445,1,?à N?ng,0.0,0.0,5.117955747644836,217.11151269436172,0.0,100.85707451798677,0,1,1,VNM,0.0,0.0,64.85167487777916,4134.266422773956,496720.9341509332,0.0,352708.323950808,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028a_1,63759600B8583399541445,1,?à N?ng,52.40326954677482,346.2981976116405,5.117955747644836,217.11151269436175,30.774359831531704,76.27617354949241,2,1,4,VNM,2332.8502154782122,124738.0028949842,77.64549209171649,4948.183990806604,846624.8104336836,23514.339500691145,583314.4103671298,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028a_2,63759600B8583399541445,1,?à N?ng,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,846624.8104336836,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028b_0,63759600B97182540787332,1,??k L?k,98.27741590617407,609.8668589445342,0.0,0.0,261.8739423281568,797.0182796868442,1,0,1,VNM,4369.2571649827205,63690.735217463625,0.0,0.0,1202639.704868076,9983.634084441615,63304.30108108434,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028b_1,63759600B97182540787332,1,??k L?k,115.14326458713222,711.420751509494,1657.6899267485549,2361.9920963111863,268.2276210603359,1312.1523532608378,3,3,3,VNM,11328.878618283774,169327.56851178076,31907.99588310368,178020.78999683008,1730749.682767372,11123.542456633524,244194.243961986,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028b_2,63759600B97182540787332,1,??k L?k,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1730749.6827673726,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028c_0,63759600B22683796323846,1,??k Nông,180.1604450203296,1794.3536020770123,9.886831791414057,240.91461741569648,0.0,0.0,2,1,0,VNM,5339.519065560057,103373.5784349009,271.4650594957319,10229.066991874517,350653.9604764982,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028c_1,63759600B22683796323846,1,??k Nông,299.50042355117915,2318.934081439287,9.886831791414057,813.5343629764247,0.0,0.0,6,3,0,VNM,9106.308776126547,241289.00708184263,309.35127457900376,43107.86977932876,710107.1298506774,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028c_2,63759600B22683796323846,1,??k Nông,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,710107.1298506772,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028d_0,63759600B72990231521734,1,?i?n Biên,3.526378743215374,1219.9950010336095,0.0,0.0,0.0,0.0,1,0,0,VNM,31.902780768469743,16082.957077659923,0.0,0.0,331782.5421661842,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028d_1,63759600B72990231521734,1,?i?n Biên,432.57493406856685,1330.3393920761184,0.0,0.0,0.0,13.144589286494776,3,0,1,VNM,8088.673221292038,35506.10787307806,0.0,0.0,544755.7462565373,0.0,498.1228785632288,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028d_2,63759600B72990231521734,1,?i?n Biên,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,544755.7462565373,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028e_0,63759600B12839449494422,1,??ng Nai,0.0,0.0,390.3434291117806,745.1033834599543,0.0,0.0,0,1,0,VNM,0.0,0.0,17944.880538350226,54153.16055021744,1719404.1599680798,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028e_1,63759600B12839449494422,1,??ng Nai,0.0,0.0,390.3434291117806,745.1033834599543,430.5886929713263,403.464355451873,0,1,1,VNM,0.0,0.0,23139.009529138664,76401.37306554476,2727328.2836912815,17289.377453911187,115721.34952734206,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028e_2,63759600B12839449494422,1,??ng Nai,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,2727328.283691282,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028f_0,63759600B81354309972615,1,??ng Tháp,0.0,0.0,72.52005158551037,840.9816058769347,0.0,0.0,0,1,0,VNM,0.0,0.0,11932.98136383295,148737.43811247207,1179574.3421204304,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028f_1,63759600B81354309972615,1,??ng Tháp,0.0,0.0,72.52005158551037,840.9816058769347,0.0,123.72120496678147,0,1,3,VNM,0.0,0.0,15110.460977137089,174978.46614561058,1328893.6945763063,0.0,41761.16655659793,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028f_2,63759600B81354309972615,1,??ng Tháp,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1328893.6945763058,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000290_0,63759600B15361955936842,1,Gia Lai,0.0,0.0,0.0,9.976488022276143,0.6074991782250649,259.1660646985961,0,1,1,VNM,0.0,0.0,0.0,338.6722872214575,837555.9651941207,29.551222121423365,5154.867325121648,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000290_1,63759600B15361955936842,1,Gia Lai,137.50490345367248,1010.0976072855586,399.09692781526667,1739.3983395898642,0.6074991782250649,265.8261965592666,4,3,2,VNM,1894.5738144513148,50149.65451960029,5223.535539304801,55236.64670465544,1450067.2081075248,22.21660813227588,5548.616728742158,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000290_2,63759600B15361955936842,1,Gia Lai,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1450067.2081075252,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000291_0,63759600B80209413202681,1,Hà Giang,79.09862991068148,921.0832315113468,0.0,0.0,137.8487521018979,1080.833049526902,2,0,2,VNM,4139.421272235232,77877.25502130802,0.0,0.0,512306.4103623321,5249.19597250118,50570.18307520817,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000291_1,63759600B80209413202681,1,Hà Giang,79.09862991068147,921.0832315113469,0.0,0.0,222.13768929564122,1943.112826769858,2,0,4,VNM,5145.265008816298,110474.11272338203,0.0,0.0,736072.3833942639,11500.762115101079,138572.80997994068,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000291_2,63759600B80209413202681,1,Hà Giang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,736072.3833942642,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000292_0,63759600B38291039937725,1,Hà Nam,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,801269.4938778144,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000292_1,63759600B38291039937725,1,Hà Nam,0.0,81.19129658651848,0.0,0.0,0.0,160.49607699740608,1,0,3,VNM,0.0,60875.83737522947,0.0,0.0,787336.6082505259,0.0,96969.98306968399,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000292_2,63759600B38291039937725,1,Hà Nam,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,787336.6082505259,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000293_0,63759600B97268694287734,1,Hà N?i,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,4613387.379245317,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000293_1,63759600B97268694287734,1,Hà N?i,38.25523064378649,346.71393509891396,17.796368286681968,275.6712328393524,0.0,0.0,1,1,0,VNM,53476.35343980789,333266.45223474974,2469.2943154713685,232428.43643421307,7090871.986647582,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000293_2,63759600B97268694287734,1,Hà N?i,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,7090871.986647579,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000294_0,63759600B52412632417993,1,Hà T?nh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1024742.8563197888,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000294_1,63759600B52412632417993,1,Hà T?nh,233.4035687713464,977.7344075680764,538.9336116210538,1335.6041520349388,0.0,61.0853318059123,1,2,1,VNM,7861.574223758894,76983.9323721303,11914.120662934783,96191.1323401273,952469.1668502307,0.0,1367.8253514161295,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000294_2,63759600B52412632417993,1,Hà T?nh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,952469.1668502303,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000295_0,63759600B6612369570330,1,H?i D??ng,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1482950.3201093366,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000295_1,63759600B6612369570330,1,H?i D??ng,1.7338928895107668,471.40905604941725,0.0,0.0,0.0,0.0,2,0,0,VNM,3452.2637235660177,170484.5861270555,0.0,0.0,1655755.7393761526,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000295_2,63759600B6612369570330,1,H?i D??ng,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1655755.7393761533,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000296_0,63759600B57390768683549,1,H?i Phòng,8.965893094442492,155.98672546795845,0.0,16.40124708400565,0.0,0.0,1,1,0,VNM,9944.63990311342,189690.4298074643,0.0,4604.03730804219,1141144.055136046,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000296_1,63759600B57390768683549,1,H?i Phòng,8.965893094442492,175.90482147374718,0.0,16.40124708400565,0.0,0.0,2,1,0,VNM,12871.72992515377,224612.67701674058,0.0,6706.752918678638,1407358.307731904,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000296_2,63759600B57390768683549,1,H?i Phòng,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1407358.3077319036,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297_0,63759600B90584107995256,1,H?u Giang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,562712.5467186155,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297_1,63759600B90584107995256,1,H?u Giang,27.32544043660164,476.41034036334236,0.0,0.0,0.0,0.0,1,0,0,VNM,2371.651599407196,153641.033662642,0.0,0.0,452773.74870547454,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297_2,63759600B90584107995256,1,H?u Giang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,452773.7487054746,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000298_0,63759600B80663352659785,1,Ho Chi Minh,0.0,43.218582801469694,0.0,0.0,0.0,0.0,1,0,0,VNM,0.0,12303.242685991641,0.0,0.0,4407705.677357192,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000298_1,63759600B80663352659785,1,Ho Chi Minh,0.0,43.2185828014697,0.0,0.0,0.0,0.0,1,0,0,VNM,0.0,22233.327824919365,0.0,0.0,8909266.205395289,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000298_2,63759600B80663352659785,1,Ho Chi Minh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,8909266.20539529,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000299_0,63759600B96462676465033,1,Hòa Bình,173.50344142202724,2108.1619326539885,116.34705328918336,518.6736092207004,38.17540447270023,459.4880213285961,3,1,1,VNM,13137.920081535975,289024.9809395136,9225.734439497484,117579.94107290616,790454.413375072,1369.1367390132418,46222.23118805301,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000299_1,63759600B96462676465033,1,Hòa Bình,211.46330360045255,2097.357452402388,161.18627480423334,1086.7790533726743,159.59524507959026,576.8885702371012,6,3,4,VNM,14537.587040123695,380414.0030406065,11367.00997512548,288817.46606008254,929812.1004630667,8558.684291459356,94327.11811946532,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000299_2,63759600B96462676465033,1,Hòa Bình,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,929812.1004630666,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029a_0,63759600B38696477403674,1,H?ng Yên,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,805908.4364507002,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029a_1,63759600B38696477403674,1,H?ng Yên,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,895114.5443771101,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029a_2,63759600B38696477403674,1,H?ng Yên,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,895114.54437711,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029b_0,63759600B80040926405936,1,Khánh Hòa,0.0,0.0,0.0,0.0,0.15500647055679093,344.8582476515177,0,0,1,VNM,0.0,0.0,0.0,0.0,817672.3286190033,49.43479133680755,125344.15395919324,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029b_1,63759600B80040926405936,1,Khánh Hòa,18.85194175290127,221.68307069812846,8.231527779901436,460.0133718000871,237.305366474485,1892.2963573688933,1,2,5,VNM,6543.369235798659,39129.43367416743,83.46804766317501,30936.506138160552,1028166.4512880731,39741.209365942515,752763.1948138429,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029b_2,63759600B80040926405936,1,Khánh Hòa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VNM,0.0,0.0,0.0,0.0,1028166.451288073,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029c_0,63759600B18022923052532,1,Kiên Giang,5.081897459474995,123.78492037218575,0.0,51.324424673492715,0.0,0.0,1,1,0,VNM,237.78455635969544,7861.809295101141,0.0,2911.9558485029966,1008520.4663976033,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029c_1,63759600B18022923052532,1,Kiên Giang,5.081897459474995,234.3075940516394,343.565069719404,638.2053235911965,0.0,23.28720914590373,2,3,2,VNM,397.97598872640555,12480.282250713044,15259.213864888863,129721.01523061884,1281891.4818186797,0.0,8400.338979693955,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
